block_number,timestamp,base_fee_per_gas
24443157,1770929027,60861096
24443158,1770929039,68399527
24443159,1770929051,67399952
24443160,1770929063,67653274
24443161,1770929075,64459189
24443162,1770929087,65561377
24443163,1770929099,67656515
24443164,1770929111,63292149
24443165,1770929123,65196807
24443166,1770929135,63386374
24443167,1770929147,67077390
24443168,1770929159,62445845
24443169,1770929171,64385629
24443170,1770929183,62295902
24443171,1770929195,57567494
24443172,1770929207,55801435
24443173,1770929219,62774063
24443174,1770929231,60849353
24443175,1770929243,61414432
24443176,1770929255,58014720
24443177,1770929267,51942892
24443178,1770929279,52030539
24443179,1770929291,58532561
24443180,1770929303,59290524
24443181,1770929315,64778003
24443182,1770929327,63385167
24443183,1770929339,60728356
24443184,1770929351,61444022
24443185,1770929363,64887933
24443186,1770929375,66872907
24443187,1770929387,72708460
24443188,1770929399,69911492
24443189,1770929411,68252629
24443190,1770929423,65913629
24443191,1770929435,65329503
24443192,1770929447,70960509
24443193,1770929459,65915299
24443194,1770929471,62246427
24443195,1770929483,63725164
24443196,1770929495,63190176
24443197,1770929507,59338152
24443198,1770929519,60715747
24443199,1770929531,59856332
24443200,1770929543,58887236
24443201,1770929555,61560524
24443202,1770929567,59490821
24443203,1770929579,58535611
24443204,1770929591,58388962
24443205,1770929603,62935960
24443206,1770929615,70773249
24443207,1770929627,71317358
24443208,1770929639,64850149
24443209,1770929651,66144343
24443210,1770929663,65102005
24443211,1770929675,64427089
24443212,1770929687,62981910
24443213,1770929699,63930021
24443214,1770929711,65771794
24443215,1770929723,66144807
24443216,1770929735,65586892
24443217,1770929747,63677888
24443218,1770929759,63608988
24443219,1770929771,57790838
24443220,1770929783,61063198
24443221,1770929795,63746548
24443222,1770929807,59687973
24443223,1770929819,64760003
24443224,1770929831,62454222
24443225,1770929843,63223689
24443226,1770929855,61198980
24443227,1770929867,60298941
24443228,1770929879,60188292
24443229,1770929891,59638393
24443230,1770929903,58601954
24443231,1770929915,57546298
24443232,1770929927,57046993
24443233,1770929939,56553781
24443234,1770929951,55446603
24443235,1770929963,54799458
24443236,1770929975,51559255
24443237,1770929987,50698392
